urn:cts:greekLit:tlg5026.msA.hmt:1.81	urn:cite:hmt:pers.pers71
urn:cts:greekLit:tlg5026.msA.hmt:1.81	urn:cite:hmt:pers.pers79
urn:cts:greekLit:tlg5026.msA.hmt:1.81	urn:cite:hmt:pers.pers71
urn:cts:greekLit:tlg5026.msA.hmt:1.81	urn:cite:hmt:pers.pers80
urn:cts:greekLit:tlg5026.msA.hmt:1.81	urn:cite:hmt:pers.pers81
urn:cts:greekLit:tlg5026.msA.hmt:1.81	urn:cite:hmt:pers.pers78
urn:cts:greekLit:tlg5026.msA.hmt:1.81	urn:cite:hmt:pers.pers81
urn:cts:greekLit:tlg5026.msA.hmt:1.81	urn:cite:hmt:pers.pers82
urn:cts:greekLit:tlg5026.msA.hmt:1.81	urn:cite:hmt:pers.pers71
urn:cts:greekLit:tlg5026.msA.hmt:1.81	urn:cite:hmt:pers.pers71
urn:cts:greekLit:tlg5026.msA.hmt:1.81	urn:cite:hmt:pers.pers81
urn:cts:greekLit:tlg5026.msA.hmt:1.81	urn:cite:hmt:pers.pers71
urn:cts:greekLit:tlg5026.msA.hmt:1.94	urn:cite:hmt:pers.pers75
urn:cts:greekLit:tlg5026.msA.hmt:1.98	urn:cite:hmt:pers.pers15
urn:cts:greekLit:tlg5026.msA.hmt:1.98	urn:cite:hmt:pers.pers127
urn:cts:greekLit:tlg5026.msA.hmt:1.100	urn:cite:hmt:pers.pers1
urn:cts:greekLit:tlg5026.msA.hmt:1.101	urn:cite:hmt:pers.pers1
urn:cts:greekLit:tlg5026.msA.hmt:1.104	urn:cite:hmt:pers.pers84
urn:cts:greekLit:tlg5026.msA.hmt:1.104	urn:cite:hmt:pers.pers85
urn:cts:greekLit:tlg5026.msA.hmt:1.104	urn:cite:hmt:pers.pers15
urn:cts:greekLit:tlg5026.msA.hmt:1.105	urn:cite:hmt:pers.pers86
urn:cts:greekLit:tlg5026.msA.hmt:1.106	urn:cite:hmt:pers.pers88
urn:cts:greekLit:tlg5026.msA.hmt:1.108	urn:cite:hmt:pers.pers15
urn:cts:greekLit:tlg5026.msA.hmt:1.117	urn:cite:hmt:pers.pers17
urn:cts:greekLit:tlg5026.msA.hmt:1.120	urn:cite:hmt:pers.pers74
urn:cts:greekLit:tlg5026.msA.hmt:1.120	urn:cite:hmt:pers.pers22
urn:cts:greekLit:tlg5026.msA.hmt:1.120	urn:cite:hmt:pers.pers33
urn:cts:greekLit:tlg5026.msA.hmt:1.120	urn:cite:hmt:pers.pers39
urn:cts:greekLit:tlg5026.msA.hmt:1.120	urn:cite:hmt:pers.pers39
urn:cts:greekLit:tlg5026.msA.hmt:1.120	urn:cite:hmt:pers.pers22
urn:cts:greekLit:tlg5026.msA.hmt:1.120	urn:cite:hmt:pers.pers90
urn:cts:greekLit:tlg5026.msA.hmt:1.122	urn:cite:hmt:pers.pers16
urn:cts:greekLit:tlg5026.msA.hmt:1.122	urn:cite:hmt:pers.pers16
urn:cts:greekLit:tlg5026.msA.hmt:1.123	urn:cite:hmt:pers.pers74
urn:cts:greekLit:tlg5026.msA.hmt:1.123	urn:cite:hmt:pers.pers22
urn:cts:greekLit:tlg5026.msA.hmt:1.123	urn:cite:hmt:pers.pers74
urn:cts:greekLit:tlg5026.msA.hmt:1.125	urn:cite:hmt:pers.pers29
urn:cts:greekLit:tlg5026.msA.hmt:1.125	urn:cite:hmt:pers.pers22
urn:cts:greekLit:tlg5026.msA.hmt:1.125	urn:cite:hmt:pers.pers91
urn:cts:greekLit:tlg5026.msA.hmt:1.125	urn:cite:hmt:pers.pers92
urn:cts:greekLit:tlg5026.msA.hmt:1.125	urn:cite:hmt:pers.pers93
urn:cts:greekLit:tlg5026.msA.hmt:1.125	urn:cite:hmt:pers.pers94
urn:cts:greekLit:tlg5026.msA.hmt:1.127	urn:cite:hmt:pers.pers22
urn:cts:greekLit:tlg5026.msA.hmt:1.127	urn:cite:hmt:pers.pers29
urn:cts:greekLit:tlg5026.msA.hmt:1.127	urn:cite:hmt:pers.pers108
urn:cts:greekLit:tlg5026.msA.hmt:1.127	urn:cite:hmt:pers.pers74
urn:cts:greekLit:tlg5026.msA.hmt:1.128	urn:cite:hmt:pers.pers16
urn:cts:greekLit:tlg5026.msA.hmt:1.129	urn:cite:hmt:pers.pers95
